Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1984,1,7.026,6.968,6.978,6.959,
1984,2,7.039,6.968,6.978,6.959,
1984,3,6.996,6.969,6.978,6.959,
1984,4,6.965,6.969,6.978,6.959,
1984,5,7.026,6.969,6.979,6.960,
1984,6,7.077,6.969,6.979,6.960,
1984,7,7.016,6.970,6.979,6.960,
1984,8,6.975,6.970,6.979,6.961,
1984,9,7.015,6.970,6.980,6.961,
1984,10,6.973,6.971,6.980,6.961,
1984,11,7.012,6.971,6.980,6.962,
1984,12,6.981,6.971,6.980,6.962,
1985,1,6.932,6.971,6.981,6.962,
1985,2,6.953,6.972,6.981,6.963,
1985,3,7.082,6.972,6.981,6.963,
1985,4,6.987,6.972,6.981,6.963,
1985,5,6.999,6.973,6.982,6.964,
1985,6,6.972,6.973,6.982,6.964,
1985,7,7.009,6.973,6.982,6.964,
1985,8,6.957,6.973,6.982,6.964,
1985,9,6.991,6.974,6.983,6.965,
1985,10,6.965,6.974,6.983,6.965,
1985,11,6.912,6.974,6.983,6.965,
1985,12,6.947,6.974,6.983,6.966,
1986,1,7.025,6.975,6.983,6.966,
1986,2,6.938,6.975,6.984,6.966,
1986,3,7.024,6.975,6.984,6.967,
1986,4,6.976,6.976,6.984,6.967,
1986,5,6.933,6.976,6.984,6.967,
1986,6,7.002,6.976,6.985,6.968,
1986,7,6.982,6.976,6.985,6.968,
1986,8,6.989,6.977,6.985,6.968,
1986,9,6.989,6.977,6.985,6.969,
1986,10,6.964,6.977,6.986,6.969,
1986,11,6.999,6.978,6.986,6.969,
1986,12,6.965,6.978,6.986,6.969,
1987,1,6.995,6.978,6.986,6.970,
1987,2,6.938,6.978,6.987,6.970,
1987,3,6.911,6.979,6.987,6.970,
1987,4,6.981,6.979,6.987,6.971,
1987,5,6.980,6.979,6.987,6.971,
1987,6,6.992,6.979,6.988,6.971,
1987,7,6.956,6.980,6.988,6.972,
1987,8,6.989,6.980,6.988,6.972,
1987,9,6.959,6.980,6.988,6.972,
1987,10,6.953,6.981,6.989,6.973,
1987,11,6.903,6.981,6.989,6.973,
1987,12,7.098,6.981,6.989,6.973,
1988,1,6.961,6.981,6.989,6.973,
1988,2,6.992,6.982,6.990,6.974,
1988,3,7.023,6.982,6.990,6.974,
1988,4,7.047,6.982,6.990,6.974,
1988,5,6.961,6.983,6.990,6.975,
1988,6,6.982,6.983,6.991,6.975,
1988,7,7.019,6.983,6.991,6.975,
1988,8,7.031,6.983,6.991,6.976,
