sample,temp_anomalies
Alor_01,TRUE
Alor_02,TRUE
Alor_03,TRUE
Alor_04,TRUE
Alor_05,TRUE
Alor_06,TRUE
Alor_07,TRUE
Alor_08,TRUE
Alor_09,TRUE
Alor_10,TRUE
Alor_11,TRUE
Alor_12,TRUE
Banggai_01,FALSE
Banggai_02,FALSE
Banggai_03,FALSE
Banggai_04,FALSE
Banggai_05,FALSE
Banggai_06,FALSE
Banggai_07,FALSE
Banggai_08,FALSE
Banggai_09,FALSE
Banggai_10,FALSE
Banggai_11,FALSE
Banggai_12,FALSE
Bangka_01,FALSE
Bangka_02,FALSE
Bangka_03,FALSE
Bangka_04,FALSE
Bangka_05,FALSE
Bangka_06,FALSE
Bangka_07,FALSE
Bangka_08,FALSE
Bangka_09,FALSE
Bangka_10,FALSE
Bangka_11,FALSE
Bangka_12,FALSE
Belitung_01,FALSE
Belitung_02,FALSE
Belitung_03,FALSE
Belitung_04,FALSE
Belitung_05,FALSE
Belitung_06,FALSE
Belitung_07,FALSE
Belitung_08,FALSE
Belitung_09,FALSE
Belitung_10,FALSE
Belitung_11,FALSE
Belitung_12,FALSE
Bira_01,FALSE
Bira_02,FALSE
Bira_03,FALSE
Bira_04,FALSE
Bira_05,FALSE
Bira_06,FALSE
Bira_07,FALSE
Bira_08,FALSE
Bira_09,FALSE
Bira_10,FALSE
Bira_11,FALSE
Bira_12,FALSE
Derawan_01,FALSE
Derawan_02,FALSE
Derawan_03,FALSE
Derawan_04,FALSE
Derawan_05,FALSE
Derawan_06,FALSE
Derawan_07,FALSE
Derawan_08,FALSE
Derawan_09,FALSE
Derawan_10,FALSE
Derawan_11,FALSE
Derawan_12,FALSE
Halmahera_01,FALSE
Halmahera_02,FALSE
Halmahera_03,FALSE
Halmahera_04,FALSE
Halmahera_05,FALSE
Halmahera_06,FALSE
Halmahera_07,FALSE
Halmahera_08,FALSE
Halmahera_09,FALSE
Halmahera_10,FALSE
Halmahera_11,FALSE
Halmahera_12,FALSE
Karimunjawa_01,FALSE
Karimunjawa_02,FALSE
Karimunjawa_03,FALSE
Karimunjawa_04,FALSE
Karimunjawa_05,FALSE
Karimunjawa_06,FALSE
Karimunjawa_07,FALSE
Karimunjawa_08,FALSE
Karimunjawa_09,FALSE
Karimunjawa_10,FALSE
Karimunjawa_11,FALSE
Karimunjawa_12,FALSE
Komodo_01,FALSE
Komodo_02,FALSE
Komodo_03,FALSE
Komodo_04,FALSE
Komodo_05,FALSE
Komodo_06,FALSE
Komodo_07,FALSE
Komodo_08,FALSE
Komodo_09,FALSE
Komodo_10,FALSE
Komodo_11,FALSE
Komodo_12,FALSE
Natuna_01,TRUE
Natuna_02,TRUE
Natuna_03,TRUE
Natuna_04,TRUE
Natuna_05,TRUE
Natuna_06,TRUE
Natuna_07,TRUE
Natuna_08,TRUE
Natuna_09,TRUE
Natuna_10,TRUE
Natuna_11,TRUE
Natuna_12,TRUE
Pari_01,FALSE
Pari_02,FALSE
Pari_03,FALSE
Pari_04,FALSE
Pari_05,FALSE
Pari_06,FALSE
Pari_07,FALSE
Pari_08,FALSE
Pari_09,FALSE
Pari_10,FALSE
Pari_11,FALSE
Pari_12,FALSE
Sanur_01,FALSE
Sanur_02,FALSE
Sanur_03,FALSE
Sanur_04,FALSE
Sanur_05,FALSE
Sanur_06,FALSE
Sanur_07,FALSE
Sanur_08,FALSE
Sanur_09,FALSE
Sanur_10,FALSE
Sanur_11,FALSE
Sanur_12,FALSE
Tual_01,FALSE
Tual_02,FALSE
Tual_03,FALSE
Tual_04,FALSE
Tual_05,FALSE
Tual_06,FALSE
Tual_07,FALSE
Tual_08,FALSE
Tual_09,FALSE
Tual_10,FALSE
Tual_11,FALSE
Tual_12,FALSE
Wakatobi_01,FALSE
Wakatobi_02,FALSE
Wakatobi_03,FALSE
Wakatobi_04,FALSE
Wakatobi_05,FALSE
Wakatobi_06,FALSE
Wakatobi_07,FALSE
Wakatobi_08,FALSE
Wakatobi_09,FALSE
Wakatobi_10,FALSE
Wakatobi_11,FALSE
Wakatobi_12,FALSE
