collection_date,host,geo_loc_name,lat_lon,library_name,east_west,phts25p0,phtsinsitutp,salinity
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_01,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_02,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_03,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_04,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_05,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_06,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_07,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_08,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_09,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_10,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_11,East,NA,NA,NA
2011-06,Syringodium isoetifolium,Indonesia: Alor,8.26874 S 124.40135 E,Alor_12,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_01,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_02,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_03,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_04,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_05,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_06,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_07,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_08,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_09,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_10,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_11,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Banggai,1.90526 S 123.08915 E,Banggai_12,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Bangka,1.74665 N 125.14956 E,Bangka_01,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Bangka,1.74665 N 125.14956 E,Bangka_02,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Bangka,1.74665 N 125.14956 E,Bangka_03,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Bangka,1.74665 N 125.14956 E,Bangka_04,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Bangka,1.74665 N 125.14956 E,Bangka_05,East,NA,NA,NA
2010-07,Syringodium isoetifolium,Indonesia: Bangka,1.74665 N 125.14956 E,Bangka_06,East,NA,NA,NA
