sample,mean_ao,wp
Alor_01,0.45666666666666667,0.81
Alor_02,0.45666666666666667,0.81
Alor_03,0.45666666666666667,0.81
Alor_04,0.45666666666666667,0.81
Alor_05,0.45666666666666667,0.81
Alor_06,0.45666666666666667,0.81
Alor_07,0.45666666666666667,0.81
Alor_08,0.45666666666666667,0.81
Alor_09,0.45666666666666667,0.81
Alor_10,0.45666666666666667,0.81
Alor_11,0.45666666666666667,0.81
Alor_12,0.45666666666666667,0.81
Banggai_01,-1.1,-2.38
Banggai_02,-1.1,-2.38
Banggai_03,-1.1,-2.38
Banggai_04,-1.1,-2.38
Banggai_05,-1.1,-2.38
Banggai_06,-1.1,-2.38
Banggai_07,-1.1,-2.38
Banggai_08,-1.1,-2.38
Banggai_09,-1.1,-2.38
Banggai_10,-1.1,-2.38
Banggai_11,-1.1,-2.38
Banggai_12,-1.1,-2.38
Bangka_01,-1.1,-2.38
Bangka_02,-1.1,-2.38
Bangka_03,-1.1,-2.38
Bangka_04,-1.1,-2.38
Bangka_05,-1.1,-2.38
Bangka_06,-1.1,-2.38
Bangka_07,-1.1,-2.38
Bangka_08,-1.1,-2.38
Bangka_09,-1.1,-2.38
Bangka_10,-1.1,-2.38
Bangka_11,-1.1,-2.38
Bangka_12,-1.1,-2.38
Belitung_01,-1.1,-2.38
Belitung_02,-1.1,-2.38
Belitung_03,-1.1,-2.38
Belitung_04,-1.1,-2.38
Belitung_05,-1.1,-2.38
Belitung_06,-1.1,-2.38
Belitung_07,-1.1,-2.38
Belitung_08,-1.1,-2.38
Belitung_09,-1.1,-2.38
Belitung_10,-1.1,-2.38
Belitung_11,-1.1,-2.38
Belitung_12,-1.1,-2.38
Bira_01,-1.1,-2.38
Bira_02,-1.1,-2.38
Bira_03,-1.1,-2.38
Bira_04,-1.1,-2.38
Bira_05,-1.1,-2.38
Bira_06,-1.1,-2.38
Bira_07,-1.1,-2.38
Bira_08,-1.1,-2.38
Bira_09,-1.1,-2.38
Bira_10,-1.1,-2.38
Bira_11,-1.1,-2.38
Bira_12,-1.1,-2.38
Derawan_01,-1.0966666666666667,-0.08
Derawan_02,-1.0966666666666667,-0.08
Derawan_03,-1.0966666666666667,-0.08
Derawan_04,-1.0966666666666667,-0.08
Derawan_05,-1.0966666666666667,-0.08
Derawan_06,-1.0966666666666667,-0.08
Derawan_07,-1.0966666666666667,-0.08
Derawan_08,-1.0966666666666667,-0.08
Derawan_09,-1.0966666666666667,-0.08
Derawan_10,-1.0966666666666667,-0.08
Derawan_11,-1.0966666666666667,-0.08
Derawan_12,-1.0966666666666667,-0.08
Halmahera_01,-1.0966666666666667,-0.08
Halmahera_02,-1.0966666666666667,-0.08
Halmahera_03,-1.0966666666666667,-0.08
Halmahera_04,-1.0966666666666667,-0.08
Halmahera_05,-1.0966666666666667,-0.08
Halmahera_06,-1.0966666666666667,-0.08
Halmahera_07,-1.0966666666666667,-0.08
Halmahera_08,-1.0966666666666667,-0.08
Halmahera_09,-1.0966666666666667,-0.08
Halmahera_10,-1.0966666666666667,-0.08
Halmahera_11,-1.0966666666666667,-0.08
Halmahera_12,-1.0966666666666667,-0.08
Karimunjawa_01,-0.27666666666666667,-0.51
Karimunjawa_02,-0.27666666666666667,-0.51
Karimunjawa_03,-0.27666666666666667,-0.51
Karimunjawa_04,-0.27666666666666667,-0.51
Karimunjawa_05,-0.27666666666666667,-0.51
Karimunjawa_06,-0.27666666666666667,-0.51
Karimunjawa_07,-0.27666666666666667,-0.51
Karimunjawa_08,-0.27666666666666667,-0.51
Karimunjawa_09,-0.27666666666666667,-0.51
Karimunjawa_10,-0.27666666666666667,-0.51
Karimunjawa_11,-0.27666666666666667,-0.51
Karimunjawa_12,-0.27666666666666667,-0.51
Komodo_01,-0.27666666666666667,-0.51
Komodo_02,-0.27666666666666667,-0.51
Komodo_03,-0.27666666666666667,-0.51
Komodo_04,-0.27666666666666667,-0.51
Komodo_05,-0.27666666666666667,-0.51
Komodo_06,-0.27666666666666667,-0.51
Komodo_07,-0.27666666666666667,-0.51
Komodo_08,-0.27666666666666667,-0.51
Komodo_09,-0.27666666666666667,-0.51
Komodo_10,-0.27666666666666667,-0.51
Komodo_11,-0.27666666666666667,-0.51
Komodo_12,-0.27666666666666667,-0.51
Natuna_01,0.45666666666666667,0.81
Natuna_02,0.45666666666666667,0.81
Natuna_03,0.45666666666666667,0.81
Natuna_04,0.45666666666666667,0.81
Natuna_05,0.45666666666666667,0.81
Natuna_06,0.45666666666666667,0.81
Natuna_07,0.45666666666666667,0.81
Natuna_08,0.45666666666666667,0.81
Natuna_09,0.45666666666666667,0.81
Natuna_10,0.45666666666666667,0.81
Natuna_11,0.45666666666666667,0.81
Natuna_12,0.45666666666666667,0.81
Pari_01,-1.0966666666666667,-0.08
Pari_02,-1.0966666666666667,-0.08
Pari_03,-1.0966666666666667,-0.08
Pari_04,-1.0966666666666667,-0.08
Pari_05,-1.0966666666666667,-0.08
Pari_06,-1.0966666666666667,-0.08
Pari_07,-1.0966666666666667,-0.08
Pari_08,-1.0966666666666667,-0.08
Pari_09,-1.0966666666666667,-0.08
Pari_10,-1.0966666666666667,-0.08
Pari_11,-1.0966666666666667,-0.08
Pari_12,-1.0966666666666667,-0.08
Sanur_01,-1.3166666666666667,0.41
Sanur_02,-1.3166666666666667,0.41
Sanur_03,-1.3166666666666667,0.41
Sanur_04,-1.3166666666666667,0.41
Sanur_05,-1.3166666666666667,0.41
Sanur_06,-1.3166666666666667,0.41
Sanur_07,-1.3166666666666667,0.41
Sanur_08,-1.3166666666666667,0.41
Sanur_09,-1.3166666666666667,0.41
Sanur_10,-1.3166666666666667,0.41
Sanur_11,-1.3166666666666667,0.41
Sanur_12,-1.3166666666666667,0.41
Tual_01,0.17,-0.27
Tual_02,0.17,-0.27
Tual_03,0.17,-0.27
Tual_04,0.17,-0.27
Tual_05,0.17,-0.27
Tual_06,0.17,-0.27
Tual_07,0.17,-0.27
Tual_08,0.17,-0.27
Tual_09,0.17,-0.27
Tual_10,0.17,-0.27
Tual_11,0.17,-0.27
Tual_12,0.17,-0.27
Wakatobi_01,-0.27666666666666667,-0.51
Wakatobi_02,-0.27666666666666667,-0.51
Wakatobi_03,-0.27666666666666667,-0.51
Wakatobi_04,-0.27666666666666667,-0.51
Wakatobi_05,-0.27666666666666667,-0.51
Wakatobi_06,-0.27666666666666667,-0.51
Wakatobi_07,-0.27666666666666667,-0.51
Wakatobi_08,-0.27666666666666667,-0.51
Wakatobi_09,-0.27666666666666667,-0.51
Wakatobi_10,-0.27666666666666667,-0.51
Wakatobi_11,-0.27666666666666667,-0.51
Wakatobi_12,-0.27666666666666667,-0.51
