year,month,genus,species,island,library_name,east_west,latitude,longitude,section,mean_Air_Temp
2011,6,Syringodium,isoetifolium,Alor,Alor_01,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_02,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_03,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_04,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_05,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_06,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_07,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_08,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_09,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_10,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_11,East,-8.26874,124.40135,10,80.42105
2011,6,Syringodium,isoetifolium,Alor,Alor_12,East,-8.26874,124.40135,10,80.42105
2010,7,Syringodium,isoetifolium,Banggai,Banggai_01,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_02,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_03,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_04,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_05,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_06,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_07,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_08,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_09,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_10,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_11,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Banggai,Banggai_12,East,-1.90526,123.08915,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_01,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_02,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_03,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_04,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_05,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_06,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_07,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_08,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_09,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_10,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_11,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Bangka,Bangka_12,East,1.74665,125.14956,11,82.90743
2010,7,Syringodium,isoetifolium,Belitung,Belitung_01,West,-2.55878,107.66886,6,81.92102
2010,7,Syringodium,isoetifolium,Belitung,Belitung_02,West,-2.55878,107.66886,6,81.92102
