YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,location,uv_month_avg
2010,7,1,2.63,Banggai,2.082581
2010,7,2,2.47,Banggai,2.082581
2010,7,3,2.28,Banggai,2.082581
2010,7,4,1.57,Banggai,2.082581
2010,7,5,2.21,Banggai,2.082581
2010,7,6,2.21,Banggai,2.082581
2010,7,7,2.06,Banggai,2.082581
2010,7,8,1.8,Banggai,2.082581
2010,7,9,2.1,Banggai,2.082581
2010,7,10,2.16,Banggai,2.082581
2010,7,11,2.2,Banggai,2.082581
2010,7,12,2.44,Banggai,2.082581
2010,7,13,2.6,Banggai,2.082581
2010,7,14,2.26,Banggai,2.082581
2010,7,15,2.13,Banggai,2.082581
2010,7,16,2.19,Banggai,2.082581
2010,7,17,2.41,Banggai,2.082581
2010,7,18,2.32,Banggai,2.082581
2010,7,19,1.96,Banggai,2.082581
2010,7,20,1.46,Banggai,2.082581
2010,7,21,1.12,Banggai,2.082581
2010,7,22,1.97,Banggai,2.082581
2010,7,23,0.84,Banggai,2.082581
2010,7,24,2.37,Banggai,2.082581
2010,7,25,2.48,Banggai,2.082581
2010,7,26,2.59,Banggai,2.082581
2010,7,27,2.38,Banggai,2.082581
2010,7,28,1.77,Banggai,2.082581
2010,7,29,1.69,Banggai,2.082581
2010,7,30,1.55,Banggai,2.082581
2010,7,31,2.34,Banggai,2.082581
2011,6,1,2.02,Alor,1.930333
2011,6,2,2.01,Alor,1.930333
2011,6,3,1.99,Alor,1.930333
2011,6,4,2.09,Alor,1.930333
2011,6,5,2.04,Alor,1.930333
2011,6,6,2.08,Alor,1.930333
2011,6,7,2.03,Alor,1.930333
2011,6,8,1.91,Alor,1.930333
2011,6,9,1.92,Alor,1.930333
2011,6,10,1.95,Alor,1.930333
2011,6,11,1.95,Alor,1.930333
2011,6,12,1.92,Alor,1.930333
2011,6,13,1.94,Alor,1.930333
2011,6,14,1.98,Alor,1.930333
2011,6,15,1.97,Alor,1.930333
2011,6,16,1.88,Alor,1.930333
2011,6,17,1.74,Alor,1.930333
2011,6,18,1.82,Alor,1.930333
2011,6,19,1.89,Alor,1.930333
2011,6,20,1.95,Alor,1.930333
2011,6,21,1.92,Alor,1.930333
2011,6,22,1.91,Alor,1.930333
2011,6,23,1.92,Alor,1.930333
2011,6,24,1.95,Alor,1.930333
2011,6,25,1.54,Alor,1.930333
2011,6,26,1.88,Alor,1.930333
2011,6,27,1.87,Alor,1.930333
2011,6,28,1.93,Alor,1.930333
2011,6,29,1.92,Alor,1.930333
2011,6,30,1.99,Alor,1.930333
2010,7,1,2.69,Bangka,2.307586
2010,7,3,2.37,Bangka,2.307586
2010,7,4,2.43,Bangka,2.307586
2010,7,5,1.4,Bangka,2.307586
2010,7,6,2.55,Bangka,2.307586
2010,7,7,2.24,Bangka,2.307586
2010,7,8,2.35,Bangka,2.307586
2010,7,9,2.59,Bangka,2.307586
2010,7,10,2.5,Bangka,2.307586
2010,7,11,2.4,Bangka,2.307586
2010,7,12,2.73,Bangka,2.307586
2010,7,13,2.67,Bangka,2.307586
2010,7,14,1.45,Bangka,2.307586
2010,7,16,2.69,Bangka,2.307586
2010,7,17,2.61,Bangka,2.307586
2010,7,18,2.16,Bangka,2.307586
2010,7,19,0.8,Bangka,2.307586
2010,7,20,2.38,Bangka,2.307586
2010,7,21,2.31,Bangka,2.307586
2010,7,22,2.3,Bangka,2.307586
2010,7,23,2.38,Bangka,2.307586
2010,7,24,2.31,Bangka,2.307586
2010,7,25,2.84,Bangka,2.307586
2010,7,26,2.65,Bangka,2.307586
2010,7,27,2.67,Bangka,2.307586
2010,7,28,2.22,Bangka,2.307586
2010,7,29,2.24,Bangka,2.307586
2010,7,30,1.43,Bangka,2.307586
2010,7,31,2.56,Bangka,2.307586
2010,7,1,2.09,Belitung,1.883548
2010,7,2,0.84,Belitung,1.883548
2010,7,3,1.92,Belitung,1.883548
2010,7,4,0.66,Belitung,1.883548
2010,7,5,1.83,Belitung,1.883548
2010,7,6,1.73,Belitung,1.883548
2010,7,7,2.39,Belitung,1.883548
2010,7,8,0.94,Belitung,1.883548
2010,7,9,2.19,Belitung,1.883548
2010,7,10,2.38,Belitung,1.883548
2010,7,11,2.38,Belitung,1.883548
2010,7,12,2.36,Belitung,1.883548
2010,7,13,2.07,Belitung,1.883548
2010,7,14,1.64,Belitung,1.883548
2010,7,15,2.4,Belitung,1.883548
2010,7,16,1.54,Belitung,1.883548
2010,7,17,1.69,Belitung,1.883548
2010,7,18,1.35,Belitung,1.883548
2010,7,19,2.07,Belitung,1.883548
2010,7,20,1.8,Belitung,1.883548
2010,7,21,2.3,Belitung,1.883548
2010,7,22,2.13,Belitung,1.883548
2010,7,23,1.74,Belitung,1.883548
2010,7,24,2.09,Belitung,1.883548
2010,7,25,1.55,Belitung,1.883548
2010,7,26,2.24,Belitung,1.883548
2010,7,27,1.58,Belitung,1.883548
