"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"Alor_01",38628,22461,22178,21996,20269,18717,0.515455110282697
"Alor_02",82860,52716,52260,51954,48811,46986,0.432947139753802
"Alor_03",43413,30242,30014,29759,27815,26367,0.392647363692903
"Alor_04",48606,30565,30408,30296,28874,27640,0.431345924371477
"Alor_05",57415,33520,33189,32951,31146,30619,0.466707306453018
"Alor_06",48731,26651,26154,25645,23519,22824,0.53163284151772
"Alor_07",49061,31595,31275,31003,28983,27442,0.440655510486945
"Alor_08",75014,46661,46114,45982,42855,41379,0.448382968512544
"Alor_09",37598,24022,23737,23555,21817,20536,0.4538007340816
"Alor_10",43357,26558,26289,26126,24796,23878,0.449270014069239
"Alor_11",44302,25073,24459,24074,22313,21599,0.512459934088754
"Alor_12",46811,30495,29889,29365,26678,25965,0.445322680566534
"Alor_13",43475,28794,28393,28047,26242,25548,0.41235192639448
"Alor_14",54308,35106,34706,34438,32539,31170,0.426051410473595
"Alor_15",40481,28914,28510,28125,26198,25644,0.366517625552728
"Alor_16",79949,50535,49520,49001,43869,42394,0.469736957310285
"Bali_01",41176,25109,24480,24020,22505,21275,0.483315523605984
"Bali_02",62489,41087,40478,40164,37899,36186,0.420922082286482
"Bali_03",39597,25628,24799,24375,22374,21242,0.463545218072076
"Bali_04",44226,30096,29274,28798,26620,25199,0.430222041333152
"Bali_05",43968,28991,28264,27899,26032,24556,0.441502911208151
"Bali_06",88830,54684,53263,52398,48011,46871,0.472351682989981
"Bali_07",50776,32057,31430,31129,29161,27666,0.455136284858988
"Bali_08",41172,27538,27054,26775,25238,24092,0.414845040318663
"Bali_09",57804,37971,37023,36561,34095,32360,0.440177150370217
"Bali_10",45019,32093,31339,31032,29040,27929,0.379617494835514
"Bali_11",50614,34969,34094,33543,31122,29781,0.411605484648516
"Bali_12",42449,27611,27024,26673,25112,23760,0.440269499870433
"Bali_13",40730,26048,25473,25181,23677,22565,0.445985759882151
"Bali_14",39836,25472,24991,24692,23218,22164,0.443618837232654
"Bali_15",40933,27426,26830,26560,24696,23429,0.427625632130555
"Bali_16",17868,12524,12251,12127,11193,10725,0.399764942914708
"Banggai_01",39333,24344,23839,23168,21088,20660,0.474741311367046
"Banggai_02",42914,27240,26813,26450,24479,23175,0.459966444516941
"Banggai_03",44027,26981,26720,26515,25116,23446,0.467463147613964
"Banggai_04",30607,19206,18904,18628,17543,16652,0.45594145130199
"Banggai_05",47650,25780,25298,24957,23392,22360,0.530745015739769
"Banggai_06",44526,27156,26645,26351,24769,23772,0.466109688721197
"Banggai_07",59630,39345,38728,38388,36125,34615,0.419503605567667
"Banggai_08",52655,35858,35465,35188,33531,32630,0.380305763935049
"Banggai_09",39759,24923,24529,24342,22499,20651,0.480595588420232
"Banggai_10",40043,25072,24822,24535,23216,22080,0.448592762780011
"Banggai_11",35837,23338,23022,22779,21177,20248,0.434997349108463
"Banggai_12",36309,23606,23311,23076,21856,21076,0.419537855628081
"Banggai_13",45971,28579,28051,27730,25806,24926,0.457788605860216
"Banggai_14",58232,37094,36340,35960,33306,32193,0.447159637312818
"Banggai_15",59814,40620,40000,39682,37668,36322,0.392750861002441
"Banggai_16",57540,36984,36653,36528,34737,33244,0.422245394508168
"Bangka_01",38578,25233,24914,24405,22928,22212,0.424231427238322
"Bangka_02",47749,33183,32433,32013,29922,28314,0.407024230873945
"Bangka_03",66836,45507,44200,43450,40073,38875,0.418352384942247
"Bangka_04",69496,45021,44108,43531,40479,39090,0.437521583976056
"Bangka_05",78158,50036,48945,48334,44502,42705,0.453606796489163
"Bangka_06",64105,42301,41585,41151,38594,36579,0.429389283207238
"Bangka_07",49388,31980,31561,31227,29486,28278,0.427431764801166
"Bangka_08",67168,44416,43923,43625,41178,39117,0.417624464030491
"Bangka_09",41235,25137,24918,24769,23504,22497,0.454419789014187
"Bangka_10",59512,36735,36031,35628,33659,32162,0.459571178921898
"Bangka_11",39642,25157,24880,24683,23477,22211,0.439710408152969
"Bangka_12",56791,37685,36949,36541,33842,32638,0.425296261731612
"Bangka_13",69454,44075,43695,43468,41367,39810,0.42681487027385
"Bangka_14",66084,42514,42158,41902,40090,38467,0.417907511651837
