Precipitation,sample
0,Alor_01
0,Alor_02
0,Alor_03
0,Alor_04
0,Alor_05
0,Alor_06
0,Alor_07
0,Alor_08
0,Alor_09
0,Alor_10
0,Alor_11
0,Alor_12
0,Banggai_01
0,Banggai_02
0,Banggai_03
0,Banggai_04
0,Banggai_05
0,Banggai_06
0,Banggai_07
0,Banggai_08
0,Banggai_09
0,Banggai_10
0,Banggai_11
0,Banggai_12
1.54,Bangka_01
1.54,Bangka_02
1.54,Bangka_03
1.54,Bangka_04
1.54,Bangka_05
1.54,Bangka_06
1.54,Bangka_07
1.54,Bangka_08
1.54,Bangka_09
1.54,Bangka_10
1.54,Bangka_11
1.54,Bangka_12
0,Belitung_01
0,Belitung_02
0,Belitung_03
0,Belitung_04
0,Belitung_05
0,Belitung_06
0,Belitung_07
0,Belitung_08
0,Belitung_09
0,Belitung_10
0,Belitung_11
0,Belitung_12
0.04,Derawan_01
0.04,Derawan_02
0.04,Derawan_03
0.04,Derawan_04
0.04,Derawan_05
0.04,Derawan_06
0.04,Derawan_07
0.04,Derawan_08
0.04,Derawan_09
0.04,Derawan_10
0.04,Derawan_11
0.04,Derawan_12
0,Halmahera_01
0,Halmahera_02
0,Halmahera_03
0,Halmahera_04
0,Halmahera_05
0,Halmahera_06
0,Halmahera_07
0,Halmahera_08
0,Halmahera_09
0,Halmahera_10
0,Halmahera_11
0,Halmahera_12
0,Karimunjawa_01
0,Karimunjawa_02
0,Karimunjawa_03
0,Karimunjawa_04
0,Karimunjawa_05
0,Karimunjawa_06
0,Karimunjawa_07
0,Karimunjawa_08
0,Karimunjawa_09
0,Karimunjawa_10
0,Karimunjawa_11
0,Karimunjawa_12
0,Komodo_01
0,Komodo_02
0,Komodo_03
0,Komodo_04
0,Komodo_05
0,Komodo_06
0,Komodo_07
0,Komodo_08
0,Komodo_09
0,Komodo_10
0,Komodo_11
0,Komodo_12
0,Pari_01
0,Pari_02
0,Pari_03
0,Pari_04
0,Pari_05
0,Pari_06
0,Pari_07
0,Pari_08
0,Pari_09
0,Pari_10
0,Pari_11
0,Pari_12
0,Tual_01
0,Tual_02
0,Tual_03
0,Tual_04
0,Tual_05
0,Tual_06
0,Tual_07
0,Tual_08
0,Tual_09
0,Tual_10
0,Tual_11
0,Tual_12
0,Wakatobi_01
0,Wakatobi_02
0,Wakatobi_03
0,Wakatobi_04
0,Wakatobi_05
0,Wakatobi_06
0,Wakatobi_07
0,Wakatobi_08
0,Wakatobi_09
0,Wakatobi_10
0,Wakatobi_11
0,Wakatobi_12
0.04,Derawan_13
0.04,Derawan_14
0.04,Derawan_15
0.04,Derawan_16
0,Pari_13
0,Pari_14
0,Pari_15
0,Pari_16
0,Halmahera_13
0,Halmahera_14
0,Halmahera_15
0,Halmahera_16
0,Belitung_13
0,Belitung_14
0,Belitung_15
0,Belitung_16
0,Banggai_13
0,Banggai_14
0,Banggai_15
0,Banggai_16
0,Alor_13
0,Alor_14
0,Alor_15
0,Alor_16
0,Tual_13
0,Tual_14
0,Tual_15
0,Tual_16
0,Komodo_13
0,Komodo_14
0,Komodo_15
0,Komodo_16
0,Wakatobi_13
0,Wakatobi_14
0,Wakatobi_15
0,Wakatobi_16
0,Karimunjawa_13
0,Karimunjawa_14
0,Karimunjawa_15
0,Karimunjawa_16
1.54,Bangka_13
1.54,Bangka_14
1.54,Bangka_15
1.54,Bangka_16
NA,Bali_01
NA,Bali_02
NA,Bali_03
NA,Bali_04
NA,Bali_05
NA,Bali_06
NA,Bali_07
NA,Bali_08
NA,Bali_09
NA,Bali_10
NA,Bali_11
NA,Bali_12
NA,Bali_13
NA,Bali_14
NA,Bali_15
NA,Bali_16
