sample_id,mean_month_slvl
Alor_01,7.06
Alor_02,7.06
Alor_03,7.06
Alor_04,7.06
Alor_05,7.06
Alor_06,7.06
Alor_07,7.06
Alor_08,7.06
Alor_09,7.06
Alor_10,7.06
Alor_11,7.06
Alor_12,7.06
Banggai_01,7.09
Banggai_02,7.09
Banggai_03,7.09
Banggai_04,7.09
Banggai_05,7.09
Banggai_06,7.09
Banggai_07,7.09
Banggai_08,7.09
Banggai_09,7.09
Banggai_10,7.09
Banggai_11,7.09
Banggai_12,7.09
Bangka_01,7.09
Bangka_02,7.09
Bangka_03,7.09
Bangka_04,7.09
Bangka_05,7.09
Bangka_06,7.09
Bangka_07,7.09
Bangka_08,7.09
Bangka_09,7.09
Bangka_10,7.09
Bangka_11,7.09
Bangka_12,7.09
Belitung_01,7.093
Belitung_02,7.093
Belitung_03,7.093
Belitung_04,7.093
Belitung_05,7.093
Belitung_06,7.093
Belitung_07,7.093
Belitung_08,7.093
Belitung_09,7.093
Belitung_10,7.093
Belitung_11,7.093
Belitung_12,7.093
Derawan_01,7.075
Derawan_02,7.075
Derawan_03,7.075
Derawan_04,7.075
Derawan_05,7.075
Derawan_06,7.075
Derawan_07,7.075
Derawan_08,7.075
Derawan_09,7.075
Derawan_10,7.075
Derawan_11,7.075
Derawan_12,7.075
Halmahera_01,7.075
Halmahera_02,7.075
Halmahera_03,7.075
Halmahera_04,7.075
Halmahera_05,7.075
Halmahera_06,7.075
Halmahera_07,7.075
Halmahera_08,7.075
Halmahera_09,7.075
Halmahera_10,7.075
Halmahera_11,7.075
Halmahera_12,7.075
Karimunjawa_01,7.042
Karimunjawa_02,7.042
Karimunjawa_03,7.042
Karimunjawa_04,7.042
Karimunjawa_05,7.042
Karimunjawa_06,7.042
Karimunjawa_07,7.042
Karimunjawa_08,7.042
Karimunjawa_09,7.042
Karimunjawa_10,7.042
Karimunjawa_11,7.042
Karimunjawa_12,7.042
Komodo_01,7.114
Komodo_02,7.114
Komodo_03,7.114
Komodo_04,7.114
Komodo_05,7.114
Komodo_06,7.114
Komodo_07,7.114
Komodo_08,7.114
Komodo_09,7.114
Komodo_10,7.114
Komodo_11,7.114
Komodo_12,7.114
Pari_01,7.053
Pari_02,7.053
Pari_03,7.053
Pari_04,7.053
Pari_05,7.053
Pari_06,7.053
Pari_07,7.053
Pari_08,7.053
Pari_09,7.053
Pari_10,7.053
Pari_11,7.053
Pari_12,7.053
Tual_01,7.068
Tual_02,7.068
Tual_03,7.068
Tual_04,7.068
Tual_05,7.068
Tual_06,7.068
Tual_07,7.068
Tual_08,7.068
Tual_09,7.068
Tual_10,7.068
Tual_11,7.068
Tual_12,7.068
Wakatobi_01,7.114
Wakatobi_02,7.114
Wakatobi_03,7.114
Wakatobi_04,7.114
Wakatobi_05,7.114
Wakatobi_06,7.114
Wakatobi_07,7.114
Wakatobi_08,7.114
Wakatobi_09,7.114
Wakatobi_10,7.114
Wakatobi_11,7.114
Wakatobi_12,7.114
